paper_id,title,year,arxiv_id,source_url,tier,modality,task,evidence_level,code_repo_url,code_commit,citation_key,notes
arxiv_2510.21840,Improving the Physics of Video Generation with VJEPA-2 Reward Signal,2025,2510.21840,https://arxiv.org/abs/2510.21840,long_tail,,,,,,arxiv2510.21840,
arxiv_2511.08544,LeJEPA Provable and Scalable Self-Supervised Learning Without the Heuristics,2025,2511.08544,https://arxiv.org/abs/2511.08544,long_tail,,,,,,arxiv2511.08544,
arxiv_2511.08939,TransactionGPT,2025,2511.08939,https://arxiv.org/abs/2511.08939,long_tail,,,,,,arxiv2511.08939,
arxiv_2511.09783,Koopman Invariants as Drivers of Emergent Time-Series Clustering in Joint-Embedding Predictive Architectures,2025,2511.09783,https://arxiv.org/abs/2511.09783,long_tail,,,,,,arxiv2511.09783,
arxiv_2511.10878,Multi-Joint Physics-Informed Deep Learning Framework for Time-Efficient Inverse Dynamics,2025,2511.10878,https://arxiv.org/abs/2511.10878,long_tail,,,,,,arxiv2511.10878,
arxiv_2511.11908,PI-NAIM Path-Integrated Neural Adaptive Imputation Model,2025,2511.11908,https://arxiv.org/abs/2511.11908,long_tail,,,,,,arxiv2511.11908,
arxiv_2511.16333,Beyond Generative AI World Models for Clinical Prediction Counterfactuals and Planning,2025,2511.16333,https://arxiv.org/abs/2511.16333,long_tail,,,,,,arxiv2511.16333,
arxiv_2511.16567,POMA-3D The Point Map Way to 3D Scene Understanding,2025,2511.16567,https://arxiv.org/abs/2511.16567,long_tail,,,,,,arxiv2511.16567,
arxiv_2511.17354,DSeq-JEPA Discriminative Sequential Joint-Embedding Predictive Architecture,2025,2511.17354,https://arxiv.org/abs/2511.17354,long_tail,,,,,,arxiv2511.17354,
arxiv_2511.18424,CrossJEPA Cross-Modal Joint-Embedding Predictive Architecture for Efficient 3D Representation Learning from 2D Images,2025,2511.18424,https://arxiv.org/abs/2511.18424,long_tail,,,,,,arxiv2511.18424,
arxiv_2511.18640,Health system learning achieves generalist neuroimaging models,2025,2511.18640,https://arxiv.org/abs/2511.18640,long_tail,,,,,,arxiv2511.18640,
arxiv_2512.00379,EnzyCLIP A Cross-Attention Dual Encoder Framework with Contrastive Learning for Predicting Enzyme Kinetic Constants,2025,2512.00379,https://arxiv.org/abs/2512.00379,long_tail,,,,,,arxiv2512.00379,
arxiv_2512.04832,Tokenizing Buildings A Transformer for Layout Synthesis,2025,2512.04832,https://arxiv.org/abs/2512.04832,long_tail,,,,,,arxiv2512.04832,
arxiv_2512.06232,Opinion Learning Intuitive Physics May Require More than Visual Data,2025,2512.06232,https://arxiv.org/abs/2512.06232,long_tail,,,,,,arxiv2512.06232,
arxiv_2512.07168,JEPA as a Neural Tokenizer Learning Robust Speech Representations with Density Adaptive Attention,2025,2512.07168,https://arxiv.org/abs/2512.07168,long_tail,,,,,,arxiv2512.07168,
arxiv_2512.10942,VL-JEPA Joint Embedding Predictive Architecture for Vision-language,2025,2512.10942,https://arxiv.org/abs/2512.10942,long_tail,,,,,,arxiv2512.10942,
arxiv_2512.19171,JEPA-Reasoner Decoupling Latent Reasoning from Token Generation,2025,2512.19171,https://arxiv.org/abs/2512.19171,long_tail,,,,,,arxiv2512.19171,
arxiv_2512.19605,KerJEPA Kernel Discrepancies for Euclidean Self-Supervised Learning,2025,2512.19605,https://arxiv.org/abs/2512.19605,long_tail,,,,,,arxiv2512.19605,
arxiv_2601.00366,BERT-JEPA Reorganizing CLS Embeddings for Language-Invariant Semantics,2026,2601.00366,https://arxiv.org/abs/2601.00366,long_tail,,,,,,arxiv2601.00366,
arxiv_2601.00844,Value-guided action planning with JEPA world models,2026,2601.00844,https://arxiv.org/abs/2601.00844,long_tail,,,,,,arxiv2601.00844,
arxiv_2601.01577,HanoiWorld A Joint Embedding Predictive Architecture BasedWorld Model for Autonomous Vehicle Controller,2026,2601.01577,https://arxiv.org/abs/2601.01577,long_tail,,,,,,arxiv2601.01577,
arxiv_2601.03665,PhysVideoGenerator Towards Physically Aware Video Generation via Latent Physics Guidance,2026,2601.03665,https://arxiv.org/abs/2601.03665,long_tail,,,,,,arxiv2601.03665,
arxiv_2601.06212,Akasha 2 Hamiltonian State Space Duality and Visual-Language Joint Embedding Predictive Architectur,2026,2601.06212,https://arxiv.org/abs/2601.06212,long_tail,,,,,,arxiv2601.06212,
arxiv_2601.07013,Conditional Normalizing Flows for Forward and Backward Joint State and Parameter Estimation,2026,2601.07013,https://arxiv.org/abs/2601.07013,long_tail,,,,,,arxiv2601.07013,
arxiv_2601.09524,Video Joint-Embedding Predictive Architectures for Facial Expression Recognition,2026,2601.09524,https://arxiv.org/abs/2601.09524,long_tail,,,,,,arxiv2601.09524,
arxiv_2601.14354,VJEPA Variational Joint Embedding Predictive Architectures as Probabilistic World Models,2026,2601.14354,https://arxiv.org/abs/2601.14354,long_tail,,,,,,arxiv2601.14354,
arxiv_2601.15891,RadJEPA Radiology Encoder for Chest X-Rays via Joint Embedding Predictive Architecture,2026,2601.15891,https://arxiv.org/abs/2601.15891,long_tail,,,,,,arxiv2601.15891,
arxiv_2601.17216,Spatiotemporal Semantic V2X Framework for Cooperative Collision Prediction,2026,2601.17216,https://arxiv.org/abs/2601.17216,long_tail,,,,,,arxiv2601.17216,
arxiv_2601.19822,A Latent Space Framework for Modeling Transient Engine Emissions Using Joint Embedding Predictive Architectures,2026,2601.19822,https://arxiv.org/abs/2601.19822,long_tail,,,,,,arxiv2601.19822,
arxiv_2601.20190,WirelessJEPA A Multi-Antenna Foundation Model using Spatio-temporal Wireless Latent Predictions,2026,2601.20190,https://arxiv.org/abs/2601.20190,long_tail,,,,,,arxiv2601.20190,
arxiv_2601.22032,Drive-JEPA Video JEPA Meets Multimodal Trajectory Distillation for End-to-End Driving,2026,2601.22032,https://arxiv.org/abs/2601.22032,long_tail,,,,,,arxiv2601.22032,
arxiv_2601.22128,The Patient is not a Moving Document A World Model Training Paradigm for Longitudinal EHR,2026,2601.22128,https://arxiv.org/abs/2601.22128,long_tail,,,,,,arxiv2601.22128,
